W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,yearID,CyYoung
20,3,33,33,0,0,0,661,205,86,19,72,213,0.246,3.51,1,14,5,0,918,0,94,4,4,0,2001,1
18,6,29,29,7,4,0,651,128,42,17,32,284,0.167,1.74,0,1,14,0,817,0,44,2,1,0,2000,1
18,4,33,33,0,0,0,643,169,71,15,79,218,0.217,2.98,5,5,6,0,878,0,76,8,7,0,2004,1
18,2,30,30,6,3,0,643,159,59,12,65,294,0.19,2.48,1,5,6,2,866,0,65,0,0,0,1995,1
21,3,32,32,0,0,0,643,152,69,18,56,240,0.198,2.9,0,6,4,1,836,0,73,2,8,0,2013,1
23,4,31,29,5,1,0,640,160,49,9,37,313,0,2.07,1,6,9,0,835,1,56,0,0,0,1999,1
20,5,31,31,2,1,0,633,173,60,16,59,205,0.226,2.56,2,8,5,1,836,0,63,2,3,0,2012,1
19,2,28,28,10,3,0,629,147,38,8,23,181,0.19,1.63,3,1,4,0,785,0,39,0,0,0,1995,1
15,12,106,0,0,0,21,625,191,56,9,56,143,0.24,2.42,1,5,1,3,857,83,66,0,0,0,1974,1
16,6,25,25,10,3,0,606,150,35,4,31,156,0.19,1.56,3,3,6,1,774,0,44,0,0,0,1994,1
21,3,27,27,6,2,0,595,139,39,9,31,239,0.196,1.77,0,7,2,2,749,0,42,6,1,15,2014,1
13,7,25,25,11,8,0,577,140,53,11,61,180,0.2,2.48,4,4,1,0,758,0,55,0,0,0,1981,1
16,5,23,23,4,3,0,515,130,56,15,54,132,0.2,2.94,0,5,7,1,690,0,60,0,0,0,1994,1
16,1,20,20,7,3,0,451,123,45,9,39,155,0.22,2.69,0,3,1,2,602,0,53,0,0,0,1984,1
9,3,80,0,0,0,32,421,96,30,6,36,112,0.19,1.92,8,2,4,0,548,68,30,0,0,0,1984,1
13,5,72,0,0,0,26,411,131,33,7,33,68,0.25,2.17,6,10,2,0,554,60,41,0,0,0,1977,1
6,6,62,0,0,0,37,304,67,25,3,32,110,0.18,2.22,5,9,0,0,403,56,29,0,0,0,1979,1
4,3,70,0,0,0,44,278,66,19,6,31,92,0.2,1.85,1,8,2,0,370,65,21,0,0,0,1989,1
5,3,65,0,0,0,40,267,79,28,11,28,74,0.23,2.83,5,3,1,1,366,56,31,0,0,0,1987,1
2,3,77,0,0,0,55,247,37,11,2,20,137,0.133,1.2,2,2,3,0,306,67,12,4,0,0,2003,1
7,1,69,0,0,0,51,240,62,17,5,11,93,0.21,1.91,6,0,1,0,309,65,17,0,0,0,1992,1
6,3,47,0,0,0,28,234,55,9,3,13,61,0.19,1.04,5,1,1,0,297,41,9,0,0,0,1981,1
24,17,49,49,20,8,0,1130,325,105,28,74,193,0.23,2.51,5,11,7,0,1490,0,119,0,0,0,1972,0
24,17,49,49,20,8,0,1130,325,105,28,74,193,0.23,2.51,5,11,7,0,1490,0,119,0,0,0,1972,0
25,14,45,45,29,4,0,1128,336,122,36,92,308,0.23,2.92,2,7,7,0,1538,0,133,0,0,0,1971,0
24,20,49,48,21,4,0,1078,381,138,25,91,199,0.27,3.46,3,7,7,0,1531,1,166,0,0,0,1973,0
27,10,41,41,30,8,0,1039,257,76,17,87,310,0.2,1.97,8,8,1,2,1351,0,84,0,0,0,1972,0
27,10,41,41,30,8,0,1039,257,76,17,87,310,0.2,1.97,8,8,1,2,1351,0,84,0,0,0,1972,0
27,10,41,41,30,8,0,1039,257,76,17,87,310,0.2,1.97,8,8,1,2,1351,0,84,0,0,0,1972,0
19,19,41,41,29,7,0,1032,315,129,34,115,238,0.24,3.38,9,17,5,0,1410,0,143,0,0,0,1973,0
